Name,Salary,Experience
Ali,39344,1.2
Ahmed,46206,1.4
Sara,37732,1.6
Zainab,43526,2.1
Hassan,39892,2.3
Fatima,56643,3
Khalid,60151,3.1
Noor,54446,3.3
Yousuf,64446,3.3
Aisha,57190,3.8
Shan,63219,4
Bilal,55795,4.1
Mariam,56958,4.1
Usman,57082,4.2
Hina,61112,4.6
Tariq,67939,5
Sana,66030,5.2
Imran,83089,5.4
Rabia,81364,6
Kamran,93941,6.1
Sadia,91739,6.9
Faisal,98274,7.2
Amna,101303,8
Zubair,113813,8.3
Layla,109432,8.8
Omer,105583,9.1
Nimra,116970,9.6
Saad,112636,9.7
Zubair Khan,122392,10.4
Layla Hassan,121873,10.6
