Name,Salary,Experience
Zubair Khan,122392,10.4
Zainab,43526,2.1
Usman,57082,4.2
Shan,63219,4
Sana,66030,5.2
Saad,112636,9.7
Omer,105583,9.1
Nimra,116970,9.6
Layla Hassan,121873,10.6
Khalid,60151,3.1
Imran,83089,5.4
Hassan,39892,2.3
Faisal,98274,7.2
Amna,101303,8
Aisha,57190,3.8
Zubair,113813,8.3
Yousuf,64446,3.3
Tariq,67939,5
Sara,37732,1.6
Sadia,91739,6.9
Rabia,81364,6
Noor,54446,3.3
Mariam,56958,4.1
Layla,109432,8.8
Kamran,93941,6.1
Hina,61112,4.6
Fatima,56643,3
Bilal,55795,4.1
Ali,39344,1.2
Ahmed,46206,1.4
